Gene,Importance
221417_x_at,0.08137652446771844
205511_at,0.04729591234349919
214489_at,0.042754510199134524
217957_at,0.030381544836456595
206228_at,0.02520745927308265
215869_at,0.025145758862429753
206443_at,0.023760671856357184
211589_at,0.02228060888229035
206382_s_at,0.02196399909527942
215766_at,0.020435104949755593
220637_at,0.01993529913677415
210335_at,0.019598211306072557
219405_at,0.019049727277125214
220906_at,0.016920036223493033
219388_at,0.01675174079863179
202522_at,0.013493569914772267
207705_s_at,0.012155058919912962
207115_x_at,0.010384070433893692
208098_at,0.009094415184283208
220824_at,0.007494944665341854
214414_x_at,0.004703377871720027
221753_at,0.003046343023337037
215033_at,0.002395005420914369
213963_s_at,0.0010579334803044662
207911_s_at,0.0
207912_s_at,0.0
207888_at,0.0
207913_at,0.0
207914_x_at,0.0
207910_at,0.0
207915_at,0.0
207916_at,0.0
